state,year,quarter,district,registered_users,year_quarter
sikkim,2021,3,east,106352,2021-Q3
sikkim,2021,3,south,38616,2021-Q3
sikkim,2021,3,west,24132,2021-Q3
sikkim,2021,3,north,15593,2021-Q3
sikkim,2021,2,east,99077,2021-Q2
sikkim,2021,2,south,35900,2021-Q2
sikkim,2021,2,west,22352,2021-Q2
sikkim,2021,2,north,14411,2021-Q2
sikkim,2021,4,east,113537,2021-Q4
sikkim,2021,4,south,41311,2021-Q4
sikkim,2021,4,west,25834,2021-Q4
sikkim,2021,4,north,16725,2021-Q4
sikkim,2021,1,east,92502,2021-Q1
sikkim,2021,1,south,33490,2021-Q1
sikkim,2021,1,west,20769,2021-Q1
sikkim,2021,1,north,13452,2021-Q1
sikkim,2018,3,east,23460,2018-Q3
sikkim,2018,3,south,6943,2018-Q3
sikkim,2018,3,west,4042,2018-Q3
sikkim,2018,3,north,3192,2018-Q3
sikkim,2018,2,east,17767,2018-Q2
sikkim,2018,2,south,5147,2018-Q2
sikkim,2018,2,west,2868,2018-Q2
sikkim,2018,2,north,2315,2018-Q2
sikkim,2018,4,east,29948,2018-Q4
sikkim,2018,4,south,8992,2018-Q4
sikkim,2018,4,west,5328,2018-Q4
sikkim,2018,4,north,4270,2018-Q4
sikkim,2018,1,east,12749,2018-Q1
sikkim,2018,1,south,3679,2018-Q1
sikkim,2018,1,west,2048,2018-Q1
sikkim,2018,1,north,1575,2018-Q1
sikkim,2024,3,gangtok,140362,2024-Q3
sikkim,2024,3,namchi,56951,2024-Q3
sikkim,2024,3,pakyong,50399,2024-Q3
sikkim,2024,3,mangan,24207,2024-Q3
sikkim,2024,3,gyalshing,23625,2024-Q3
sikkim,2024,3,soreng,16767,2024-Q3
sikkim,2024,2,east,174348,2024-Q2
sikkim,2024,2,south,64133,2024-Q2
sikkim,2024,2,west,40197,2024-Q2
sikkim,2024,2,north,25972,2024-Q2
sikkim,2024,4,gangtok,143928,2024-Q4
sikkim,2024,4,namchi,58886,2024-Q4
sikkim,2024,4,pakyong,51773,2024-Q4
sikkim,2024,4,gyalshing,24563,2024-Q4
sikkim,2024,4,mangan,24321,2024-Q4
sikkim,2024,4,soreng,17277,2024-Q4
sikkim,2024,1,east,168229,2024-Q1
sikkim,2024,1,south,61782,2024-Q1
sikkim,2024,1,west,38748,2024-Q1
sikkim,2024,1,north,25062,2024-Q1
sikkim,2023,3,east,156600,2023-Q3
sikkim,2023,3,south,57259,2023-Q3
sikkim,2023,3,west,35808,2023-Q3
